plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AM #26,#26 Angela Mason,#26,Angela Mason,92,6,24,25,15.3,0,2,29,8.3,1,Sizzle,2018,92,6,24,0,2,1,0,25,0.08333333333333333,3.8333333333333335,15.3,92,0,0,0.20833333333333337,0,0.29166666666666696,8.3,#26,Angela Mason,4,2,2,6,0,1,4,2,0,0,2,4,2
AM #26,#26 Angela Mason,#26,Angela Mason,37,4,17,23.5,9.2,0,2,12,0,2,Sizzle,2018,129,10,41,0,4,2,0,24,0.0975609756097561,3.1463414634146343,12.9,64.5,0,0,0.03658536585365857,0,0,0.6,#26,Angela Mason,4,1,4,4,0,2,8,3,0,0,2.7,4,4
AM #26,#26 Angela Mason,#26,Angela Mason,102,7,22,31.8,14.6,1,2,55,25.2,3,Sizzle,2018,231,17,63,1,6,3,0.015873015873015872,27,0.09523809523809523,3.6666666666666665,13.6,77,0.16666666666666666,0,0.16666666666666663,0.31746031746031744,0,8.1,#26,Angela Mason,5,2,2.5,3,0,3,13,5,0,0,2.6,4.3,2.5
AM #26,#26 Angela Mason,#26,Angela Mason,94,9,26,34.6,10.4,2,2,22,39.6,4,Sizzle,2018,325,26,89,3,8,4,0.033707865168539325,29,0.0898876404494382,3.651685393258427,12.5,81.2,0.375,0,0.1629213483146067,0.6741573033707865,0.12780898876404478,16.1,#26,Angela Mason,18,8,2.2,11,1,4,31,13,1,0.07692307692307693,2.4,7.8,2.2
AM #26,#26 Angela Mason,#26,Angela Mason,234,9,26,34.6,26,2,1,76,78,5,Sizzle,2018,559,35,115,5,9,5,0.043478260869565216,30,0.0782608695652174,4.860869565217391,16,111.8,0.5555555555555555,0.021739130434782795,0.4652173913043478,0.8695652173913043,0.41847826086956497,29.6,#26,Angela Mason,55,7,7.9,15,0,5,86,20,1,0.05,4.3,17.2,7.9
AM #26,#26 Angela Mason,#26,Angela Mason,71,5,11,45.5,14.2,2,0,41,106.4,6,Sizzle,2018,630,40,126,7,9,6,0.05555555555555555,32,0.07142857142857142,5,15.8,105,0.7777777777777778,0.08730158730158717,0.5,1.1111111111111112,0.5892857142857144,38.1,#26,Angela Mason,43,4,10.8,21,2,6,129,24,3,0.125,5.4,21.5,10.8
AM #26,#26 Angela Mason,#26,Angela Mason,234,10,31,32.3,23.4,2,1,72,68.5,8,Sizzle,2018,864,50,157,9,10,7,0.05732484076433121,32,0.06369426751592357,5.503184713375796,17.3,123.4,0.9,0.0923566878980891,0.625796178343949,1.1464968152866244,0.7826433121019107,44.1,#26,Angela Mason,13,4,3.2,13,0,8,142,28,3,0.10714285714285714,5.1,20.3,3.2
AM #26,#26 Angela Mason,#26,Angela Mason,28,7,23,30.4,4,0,0,16,39.9,10,Sizzle,2018,892,57,180,9,10,8,0.05,32,0.05555555555555555,4.955555555555556,15.6,111.5,0.9000000000000001,0.08333333333333322,0.48888888888888893,1,0.9861111111111112,42.6,#26,Angela Mason,6,3,2,7,0,10,148,31,3,0.0967741935483871,4.8,18.5,2
AC #7,#7 Anna Clark,#7,Anna Clark,64,4,10,40,16,0,2,25,22.5,1,Waverunners,2018,64,4,10,0,2,1,0,40,0.2,6.4,16,64,0,0.5,0.8500000000000001,0,0,22.5,#7,Anna Clark,78,3,26,50,1,2,78,3,1,0.3333333333333333,26,78,26
AC #7,#7 Anna Clark,#7,Anna Clark,98,3,4,75,32.7,2,0,NA,156.2,2,Waverunners,2018,162,7,14,2,2,2,0.14285714285714285,50,0.14285714285714285,11.571428571428571,23.1,81,1,1,2.142857142857143,2.375,0,92,#7,Anna Clark,57,5,11.4,25,0,3,135,8,1,0.125,16.9,67.5,11.4
