plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
M #11,#11 Michele  Walsh,#11,Michele  Walsh,1,1,6,16.7,1,0,1,1,0,1,Spartans,2019,1,1,6,0,1,1,0,17,0.16666666666666666,0.16666666666666666,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO #12,#12 Michelle Oetjen,#12,Michelle Oetjen,43,2,3,66.7,21.5,1,0,46,149.3,1,Storm,2019,43,2,3,1,0,1,0.3333333333333333,67,0,14.333333333333334,21.5,43,0.3333333333333333,1.833333333333333,2.375,2.375,2.375,149.3,#12,Michelle Oetjen,52,7,7.4,18,0,1,52,7,0,0,7.4,52,7.4
MO #12,#12 Michelle Oetjen,#12,Michelle Oetjen,32,2,5,40,16,1,0,21,101.7,3,Storm,2019,75,4,8,2,0,2,0.25,50,0,9.375,18.8,37.5,0.25,1,1.59375,2.375,2.375,122.4,#12,Michelle Oetjen,36,3,12,23,1,3,88,10,1,0.1,8.8,44,12
MR #23,#23 Michelle Robinson,#23,Michelle Robinson,20,3,6,50,6.7,0,2,10,18.1,2,Dixie Blues,2019,20,3,6,0,2,1,0,50,0.3333333333333333,3.3333333333333335,6.7,20,0,1,0.08333333333333337,0,0,18.1,#23,Michelle Robinson,1,4,0.2,7,0,1,1,4,0,0,0.2,1,0.2
NT #12,#12 Nikki Toiaivao,#12,Nikki Toiaivao,43,4,16,25,10.8,1,1,18,34.4,1,Blitz,2019,43,4,16,1,1,1,0.0625,25,0.0625,2.6875,10.8,43,1,0,0,1.25,0.8125,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NT #12,#12 Nikki Toiaivao,#12,Nikki Toiaivao,15,3,15,20,5,0,0,8,39.6,2,Blitz,2019,58,7,31,1,1,2,0.03225806451612903,23,0.03225806451612903,1.8709677419354838,8.3,29,1,0,0,0.6451612903225806,1.5685483870967742,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB #8,#8 Pamela Blazo,#8,Pamela Blazo,66,6,13,46.2,11,0,3,40,22.1,1,Tidal Waves,2019,66,6,13,0,3,1,0,46,0.23076923076923078,5.076923076923077,11,66,0,0.8076923076923077,0.5192307692307692,0,0,22.1,#8,Pamela Blazo,0,2,0,NA,0,1,0,2,0,0,0,0,0
PB #8,#8 Pamela Blazo,#8,Pamela Blazo,25,5,13,38.5,5,0,1,12,14.6,2,Tidal Waves,2019,91,11,26,0,4,2,0,42,0.15384615384615385,3.5,8.3,45.5,0,0.6153846153846154,0.125,0,0,12.3,#8,Pamela Blazo,0,4,0,2,0,2,0,6,0,0,0,0,0
PB #8,#8 Pamela Blazo,#8,Pamela Blazo,34,9,15,60,3.8,1,2,12,47.2,3,Tidal Waves,2019,125,20,41,1,6,3,0.024390243902439025,49,0.14634146341463414,3.048780487804878,6.2,41.7,0.16666666666666669,0.9390243902439025,0.012195121951219523,0.4878048780487805,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PY #2,#2 Patricia Youngblood,#2,Patricia Youngblood,80,5,10,50,16,0,0,36,77.1,1,Savages,2019,80,5,10,0,0,1,0,50,0,8,16,80,0,1,1.25,0,2.375,77.1,#2,Patricia Youngblood,5,3,1.7,4,0,1,5,3,0,0,1.7,5,1.7
