plyr.lbl,player,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,team,season,rush_yards_cum,carries_cum,rush_td_cum,game,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,rec_yards_cum,rec_cum,rec_td_cum,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec
RJ #3,#3 Regena Jackson,#3,Regena Jackson,224,11,20.4,62,4,2,Panthers,2019,224,11,4,1,0.36363636363636365,20.4,224,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB #11,#11 Robbie Brown,#11,Robbie Brown,52,8,6.5,25,1,1,Zydeco,2019,52,8,1,1,0.125,6.5,52,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB #11,#11 Robbie Brown,#11,Robbie Brown,18,4,4.5,8,0,2,Zydeco,2019,70,12,1,2,0.08333333333333333,5.8,35,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA #35,#35 Ruby Albright,#35,Ruby Albright,72,12,6,NA,0,1,MH Blaze,2019,72,12,0,1,0,6,72,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA #35,#35 Ruby Albright,#35,Ruby Albright,27,14,1.9,NA,0,2,MH Blaze,2019,99,26,0,2,0,3.8,49.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA #35,#35 Ruby Albright,#35,Ruby Albright,31,4,7.8,NA,0,3,MH Blaze,2019,130,30,0,3,0,4.3,43.3,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC #18,#18 Sarah Colangelo,#18,Sarah Colangelo,8,3,2.7,8,1,1,Storm,2019,8,3,1,1,0.3333333333333333,2.7,8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC #18,#18 Sarah Colangelo,#18,Sarah Colangelo,103,10,10.3,28,0,3,Storm,2019,111,13,1,2,0.07692307692307693,8.5,55.5,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM #7,#7 Sarah Malone,#7,Sarah Malone,12,13,0.9,6,0,1,Fighting Shockwave,2019,12,13,0,1,0,0.9,12,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM #7,#7 Sarah Malone,#7,Sarah Malone,25,8,3.1,8,0,2,Fighting Shockwave,2019,37,21,0,2,0,1.8,18.5,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF #36,#36 Shaysha Fitzgerald,#36,Shaysha Fitzgerald,260,16,16.2,60,5,1,Nighthawks,2019,260,16,5,1,0.3125,16.2,260,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF #36,#36 Shaysha Fitzgerald,#36,Shaysha Fitzgerald,61,20,3,10,0,2,Nighthawks,2019,321,36,5,2,0.1388888888888889,8.9,160.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG #33,#33 Shelby Getter,#33,Shelby Getter,22,14,1.6,10,0,1,Threat,2019,22,14,0,1,0,1.6,22,1.6,#33,Shelby Getter,5,1,5,5,0,3,5,1,0,0,5,5,5
SG #33,#33 Shelby Getter,#33,Shelby Getter,0,4,0,2,0,2,Threat,2019,22,18,0,2,0,1.2,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG #33,#33 Shelby Getter,#33,Shelby Getter,0,9,0,4,0,3,Threat,2019,22,27,0,3,0,0.8,7.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR #9,#9 Sheylia Rutland,#9,Sheylia Rutland,20,6,3.3,10,0,1,Inferno,2019,20,6,0,1,0,3.3,20,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR #9,#9 Sheylia Rutland,#9,Sheylia Rutland,48,3,16,23,0,2,Inferno,2019,68,9,0,2,0,7.6,34,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR #9,#9 Sheylia Rutland,#9,Sheylia Rutland,95,12,7.9,19,2,3,Inferno,2019,163,21,2,3,0.09523809523809523,7.8,54.3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S #7,#7 Stacey  Shipmon,#7,Stacey  Shipmon,79,13,6.1,13,0,1,Blitz,2019,79,13,0,1,0,6.1,79,6.1,#7,Stacey  Shipmon,5,1,5,5,0,1,5,1,0,0,5,5,5
S #7,#7 Stacey  Shipmon,#7,Stacey  Shipmon,57,13,4.4,18,0,2,Blitz,2019,136,26,0,2,0,5.2,68,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S #7,#7 Stacey  Shipmon,#7,Stacey  Shipmon,27,7,3.9,7,0,3,Blitz,2019,163,33,0,3,0,4.9,54.3,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR #1,#1 Sydney Reardon,#1,Sydney Reardon,50,11,4.5,14,0,1,Fusion,2019,50,11,0,1,0,4.5,50,4.5,#1,Sydney Reardon,28,1,28,28,1,2,28,1,1,1,28,28,28
SR #1,#1 Sydney Reardon,#1,Sydney Reardon,62,9,6.9,45,0,2,Fusion,2019,112,20,0,2,0,5.6,56,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T #0,#0 Tatianna  Palms,#0,Tatianna  Palms,43,5,8.6,NA,0,2,MH Blaze,2019,43,5,0,1,0,8.6,43,8.6,#0,Tatianna  Palms,61,2,NA,30.5,2,3,61,2,2,1,30.5,61,30.5
T #0,#0 Tatianna  Palms,#0,Tatianna  Palms,116,12,9.7,NA,2,3,MH Blaze,2019,159,17,2,2,0.11764705882352941,9.4,79.5,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH #12,#12 Taylor Hay,#12,Taylor Hay,100,11,9.1,19,1,1,Slam,2019,100,11,1,1,0.09090909090909091,9.1,100,9.1,#12,Taylor Hay,16,2,14,8,0,1,16,2,0,0,8,16,8
TH #12,#12 Taylor Hay,#12,Taylor Hay,135,27,5,13,1,2,Slam,2019,235,38,2,2,0.05263157894736842,6.2,117.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB #17,#17 Teneicia Barnes,#17,Teneicia Barnes,41,17,2.4,NA,0,1,Comets,2019,41,17,0,1,0,2.4,41,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB #17,#17 Teneicia Barnes,#17,Teneicia Barnes,113,23,4.9,24,0,2,Comets,2019,154,40,0,2,0,3.8,77,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC #44,#44 Tia Cunningham,#44,Tia Cunningham,1,2,0.5,1,0,1,Fighting Shockwave,2019,1,2,0,1,0,0.5,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC #44,#44 Tia Cunningham,#44,Tia Cunningham,62,7,8.9,19,0,2,Fighting Shockwave,2019,63,9,0,2,0,7,31.5,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC #44,#44 Tia Cunningham,#44,Tia Cunningham,8,3,2.7,5,0,3,Fighting Shockwave,2019,71,12,0,3,0,5.9,23.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB #32,#32 Trei Brown,#32,Trei Brown,2,5,0.4,5,0,1,Titans,2019,2,5,0,1,0,0.4,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB #32,#32 Trei Brown,#32,Trei Brown,8,8,1,6,0,2,Titans,2019,10,13,0,2,0,0.8,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TR #22,#22 Tynequia Roberts,#22,Tynequia Roberts,11,7,1.6,4,0,1,Inferno,2019,11,7,0,1,0,1.6,11,1.6,#22,Tynequia Roberts,2,1,2,2,0,1,2,1,0,0,2,2,2
